电影名,链接,年份,国家,类型,导演,主演,评分
坏蛋联盟2,https://www.douban.com/doubanapp/dispatch?uri=/movie/36829507,2025,美国,喜剧 动作 动画 悬疑 犯罪 冒险,皮埃尔·佩里费尔 J·P·桑斯,山姆·洛克威尔 马克·马龙,7.7
周四推理俱乐部,https://www.douban.com/doubanapp/dispatch?uri=/movie/36767890,2025,美国,喜剧 悬疑 惊悚 犯罪,克里斯·哥伦布,海伦·米伦 皮尔斯·布鲁斯南,6.8
如月车站Re：,https://www.douban.com/doubanapp/dispatch?uri=/movie/37192550,2025,日本,恐怖,永江二朗,本田望结 奥菜惠,6.1
伊甸,https://www.douban.com/doubanapp/dispatch?uri=/movie/36139721,2024,美国,惊悚,朗·霍华德,裘德·洛 安娜·德·阿玛斯,7.0
初吻,https://www.douban.com/doubanapp/dispatch?uri=/movie/36894170,2025,日本,爱情 奇幻,冢原亚由子,松隆子 松村北斗,8.5
8号出口,https://www.douban.com/doubanapp/dispatch?uri=/movie/37178027,2025,日本,恐怖 冒险,川村元气,二宫和也 河内大和,6.3
同甘共苦,https://www.douban.com/doubanapp/dispatch?uri=/movie/36772728,2025,澳大利亚 美国,爱情 恐怖,迈克尔·尚克斯,戴夫·弗兰科 爱丽森·布里,6.9
夜班,https://www.douban.com/doubanapp/dispatch?uri=/movie/36752929,2025,瑞士 德国,剧情,佩特拉·比翁迪娜·沃尔普,莉奥妮·贝尼希 桑娅·里森,8.3
关于约会的一切,https://www.douban.com/doubanapp/dispatch?uri=/movie/37067150,2025,意大利,喜剧 爱情,保罗·杰诺维塞,爱德华多·莱奥 皮拉尔·福格莉亚蒂,8.1
F1：狂飙飞车,https://www.douban.com/doubanapp/dispatch?uri=/movie/35689244,2025,美国,剧情 动作 运动,约瑟夫·科辛斯基,布拉德·皮特 戴姆森·伊德瑞斯,8.7
死神来了：血脉诅咒,https://www.douban.com/doubanapp/dispatch?uri=/movie/30429388,2025,美国,惊悚 恐怖,亚当·B·斯坦 扎克·利波夫斯基,凯特琳·桑塔·胡安娜 特欧·布里奥尼斯,6.9
超人,https://www.douban.com/doubanapp/dispatch?uri=/movie/36188176,2025,美国,动作 科幻 奇幻 冒险,詹姆斯·古恩,大卫·科伦斯韦 瑞秋·布罗斯纳安,6.5
碟中谍8：最终清算,https://www.douban.com/doubanapp/dispatch?uri=/movie/30433456,2025,美国,动作 惊悚 冒险,克里斯托弗·麦奎里,汤姆·克鲁斯 海莉·阿特维尔,7.7
查克的一生,https://www.douban.com/doubanapp/dispatch?uri=/movie/36399569,2024,美国,剧情 科幻 奇幻,迈克·弗拉纳根,汤姆·希德勒斯顿 马克·哈米尔,7.6
惊变28年,https://www.douban.com/doubanapp/dispatch?uri=/movie/36144741,2025,英国 美国,科幻 惊悚 恐怖,丹尼·博伊尔,朱迪·科默 阿尔菲·威廉姆斯,5.7
看我今天怎么说,https://www.douban.com/doubanapp/dispatch?uri=/movie/36766358,2024,中国香港,剧情,黄修平,钟雪莹 吴祉昊,8.3
物质主义者,https://www.douban.com/doubanapp/dispatch?uri=/movie/36453674,2025,美国 芬兰,喜剧 爱情,席琳·宋,达科塔·约翰逊 克里斯·埃文斯,6.0
小人物2,https://www.douban.com/doubanapp/dispatch?uri=/movie/36176467,2025,美国,喜剧 动作 犯罪,提莫·塔哈亚托,鲍勃·奥登科克 康妮·尼尔森,6.7
即兴卧底,https://www.douban.com/doubanapp/dispatch?uri=/movie/36764327,2025,英国,喜剧 动作 犯罪,汤姆·金斯利,布莱丝·达拉斯·霍华德 奥兰多·布鲁姆,7.2
侏罗纪世界：重生,https://www.douban.com/doubanapp/dispatch?uri=/movie/36743767,2025,美国,动作 科幻 惊悚 冒险,加里斯·爱德华斯,斯嘉丽·约翰逊 马赫沙拉·阿里,5.9
